CJWR, WHR, PAR, ES, LF/FH, FW/LFH, MEH
1.143360665,1.57209117,7.776421828,0.133180283,0.706329408,1.209493326,0.064143999
1.229512607,1.33529253,7.554033208,0.145533545,0.683205979,1.263953242,0.09251432
1.174607756,1.514005764,7.926560521,0.136974756,0.693700089,1.246039489,0.078190175
1.171521882,1.494236503,7.567708373,0.138782039,0.714709528,1.17414111,0.081913229
1.184748449,1.460177729,7.916350982,0.134938726,0.689374108,1.254547945,0.073120903
1.173126112,1.401534332,8.414873317,0.129643259,0.674037498,1.224450144,0.068692576
1.164650793,1.539800672,7.839573348,0.137597977,0.698887754,1.218384474,0.076105341
1.205742934,1.309319958,7.284868256,0.1363512,0.714170443,1.14008749,0.090005052
1.188575319,1.379461196,7.556168404,0.136781685,0.698139372,1.171740777,0.085187017
1.155986444,1.480017888,7.613226346,0.140527025,0.690865798,1.200544941,0.0851462
1.21890973,1.499227416,7.515907455,0.143356721,0.695104092,1.258142648,0.086113027
1.227940657,1.30516217,7.834425276,0.136228265,0.676095991,1.207878673,0.081661985
1.20042508,1.353521637,8.002709106,0.138654077,0.678322474,1.217465075,0.088308021
1.253486932,1.344168287,8.578411497,0.136818632,0.660055022,1.287254402,0.077651134
1.207222397,1.348971558,7.993771235,0.139144638,0.679385313,1.227649849,0.079831524
1.193990715,1.529543049,7.646271134,0.135035545,0.707555315,1.181058032,0.078056611
1.178604783,1.54327678,7.992849718,0.136908235,0.704086693,1.184175811,0.086018046
1.214663383,1.386487601,7.664441252,0.140821562,0.689831978,1.243308884,0.089468811
1.210688287,1.410862341,7.871573337,0.133457355,0.697823486,1.23467111,0.079128215
1.164263493,1.415032584,7.717376341,0.13707919,0.687992458,1.203185325,0.072564661
1.208184842,1.309933162,7.889062217,0.13136289,0.706736669,1.113215104,0.074939039
1.170314358,1.543216453,7.657580803,0.137183358,0.697958236,1.227157919,0.079595763
1.162975874,1.446127266,7.311317471,0.139035407,0.702491132,1.174216991,0.075957333
1.189262454,1.29006506,7.55100661,0.141888258,0.690033196,1.153671183,0.088378156
1.198591469,1.362857582,7.390663202,0.137506152,0.697196783,1.172396296,0.088108544
1.178961703,1.381984839,7.422663556,0.137983566,0.716393944,1.144781854,0.086442518
1.180153489,1.521692425,7.146293716,0.149450784,0.702451364,1.275566044,0.085538469
1.173036189,1.600023503,7.628096939,0.141013094,0.706391685,1.261251177,0.077608053
1.209864162,1.393678172,7.763235339,0.13770655,0.689586654,1.200812595,0.080621337
1.182390499,1.393509633,7.360330692,0.141326439,0.697162209,1.19984349,0.078616027
1.192443142,1.533667191,7.586339828,0.139987486,0.710086241,1.227009674,0.082105102
1.204936788,1.445855472,8.164219325,0.134129422,0.682668794,1.241090098,0.07827293
1.146202977,1.604687344,8.700187761,0.13169072,0.682939368,1.256493161,0.068071455
1.218328655,1.317750229,7.673510754,0.13580179,0.694074443,1.21306058,0.085895266
1.168185142,1.585999109,7.428529976,0.145425133,0.694629046,1.327517522,0.083277971
1.191656631,1.325194925,7.532548753,0.134333639,0.715914951,1.137489343,0.088999897
1.222899336,1.436872927,8.290161881,0.137326406,0.67143637,1.294132324,0.07799269
1.183394111,1.421639107,7.677452529,0.134579194,0.714710722,1.19096612,0.080949585
1.170021213,1.566808967,7.405860541,0.140989125,0.710814296,1.201455421,0.079348586
1.182641919,1.566780729,7.546358819,0.142677818,0.69384283,1.282798083,0.077771556
1.174134628,1.433334275,7.342232276,0.134397592,0.720253997,1.155700355,0.081610044
1.182218848,1.39407453,8.072188766,0.133423996,0.691493024,1.160888623,0.07854574
1.21156994,1.37819337,7.837347053,0.133904764,0.7039643,1.186821084,0.086511162
1.221372702,1.346808905,7.164204555,0.148399016,0.697361127,1.18792312,0.097242291
1.138803311,1.523095393,6.880212453,0.137525326,0.722359239,1.132569507,0.081314366
1.17146913,1.460026781,8.049746674,0.133159436,0.684221228,1.187922553,0.075673724
1.214954478,1.430725051,7.724331251,0.136173312,0.722043873,1.185773128,0.085114205
1.137765029,1.650452234,7.208282055,0.136583922,0.730775442,1.158900071,0.073905962
1.156194543,1.740390186,7.593969205,0.143598239,0.702902346,1.280180954,0.079672647
1.203327364,1.767419377,8.686130579,0.134721807,0.697191167,1.371823138,0.0716691
1.198209338,1.298751439,7.724258313,0.130339106,0.717050929,1.164105052,0.081230587
1.176804376,1.543574514,8.319696387,0.138748957,0.684005452,1.276804501,0.079111288
1.173320646,1.417725203,7.477410062,0.137822274,0.70938262,1.181277847,0.066471724
1.152126166,1.387279816,7.663665029,0.134193161,0.723459608,1.121651411,0.069150827
1.147342896,1.52283501,7.668022626,0.1355917,0.706668879,1.171096926,0.079732056
1.174996138,1.529448019,7.587444079,0.138717219,0.693364544,1.231099393,0.077985405
1.130105551,1.561851102,7.329645347,0.134142236,0.715498029,1.191656493,0.07856765
1.189020416,1.333093969,7.711708621,0.136389951,0.695651581,1.199352846,0.081546216
1.203860216,1.427172032,7.834486027,0.138264558,0.691859582,1.219463264,0.088843583
1.184063259,1.490549667,7.956863495,0.136695909,0.690665944,1.232667906,0.089641355
1.240402849,1.201419708,7.417391969,0.138286999,0.692746157,1.158063455,0.098960992
1.184293679,1.43997826,7.416531841,0.137023449,0.702053225,1.183763346,0.084371868
1.182721122,1.452927587,7.689067179,0.135528972,0.706106292,1.195913062,0.081686398
