CJWR, WHR, PAR, ES, LF/FH, FW/LFH, MEH
1.19785305,1.365108511,7.976239739,0.132233398,0.703431841,1.21835349,0.085237377
1.14346751,1.530981486,7.104797621,0.144386658,0.723775042,1.226173489,0.081954163
1.162925177,1.419480426,7.265665843,0.133398519,0.718394981,1.132727893,0.078292668
1.159536225,1.600079819,7.551637322,0.138036827,0.708106018,1.21393237,0.077188679
1.156497483,1.432771788,7.110258175,0.137752742,0.733980729,1.134665746,0.083970404
1.133024501,1.772985411,8.035506509,0.139181886,0.715099155,1.232308874,0.069884846
1.182167045,1.53594228,7.889313817,0.136987,0.69133169,1.241269125,0.080115822
1.159889476,1.383987144,7.638381592,0.131614614,0.705960624,1.155145615,0.084980935
1.166065015,1.733758886,8.449404947,0.134226681,0.694098336,1.239306828,0.066874368
1.177836696,1.566079754,7.629819799,0.139541687,0.703257222,1.214539604,0.075526021
1.219278139,1.372136954,8.117608151,0.136921672,0.675830961,1.262573617,0.074118324
1.158638099,1.514750591,7.606253289,0.130806409,0.719203074,1.177721996,0.070226965
1.159993877,1.483245947,7.438662436,0.136387308,0.708884875,1.160030958,0.075750918
1.130682403,1.568598762,7.067852165,0.136404472,0.738846711,1.174674996,0.080838185
1.166830159,1.679824979,7.739429587,0.138321824,0.710494574,1.2505464,0.066086155
1.131709388,1.596476992,7.340822205,0.134216774,0.741422064,1.183083817,0.084929502
1.166054377,1.59195915,7.094794462,0.14389269,0.724750149,1.214950999,0.077820191
1.114625686,1.718935672,7.085449168,0.133699943,0.768642828,1.149818444,0.088684914
1.136289976,1.621638709,7.094818763,0.140246414,0.734736774,1.210297954,0.060874335
1.10777489,1.536651588,7.21226474,0.131181016,0.751492707,1.098623807,0.084216054
1.147761531,1.436719884,6.933652303,0.139313064,0.735082974,1.154809634,0.08315485
1.154753921,1.473664633,7.569088894,0.132630037,0.736655501,1.122401378,0.078699303
1.145795254,1.598731507,7.175471409,0.142039306,0.72963677,1.190632674,0.075915923
1.127234636,1.600306232,7.208218198,0.137604254,0.724629627,1.164970652,0.075896169
1.147644229,1.504518796,7.051766221,0.136552795,0.751409249,1.122305621,0.081741488
1.126230047,1.567371363,7.014374426,0.139377736,0.737303659,1.167588476,0.071375278
1.136312903,1.58566384,7.151304635,0.136387489,0.7469305,1.140377176,0.08719964
1.1816534,1.58512625,7.541070562,0.13980612,0.703809959,1.221322403,0.076367395
1.169984759,1.448537798,7.315779874,0.140731335,0.725001827,1.178952031,0.088083407
1.162764745,1.392406121,7.542480207,0.135576812,0.713349692,1.142654703,0.085513937
1.136735507,1.574858462,7.141433754,0.144825117,0.692414912,1.239010585,0.079841964
1.14434636,1.52674715,6.719520453,0.142009836,0.75971228,1.137348242,0.093317591
1.146340999,1.541521303,6.959698949,0.139770538,0.739909567,1.174637411,0.083370512
1.116135075,1.729122263,7.35336821,0.133738846,0.758725322,1.166810984,0.087371951
1.138156924,1.576302855,7.228533448,0.138187098,0.725140998,1.221243039,0.090156598
1.178228358,1.542070127,7.483289243,0.145324233,0.709888286,1.258302312,0.077207759
1.164812553,1.61275504,7.526588996,0.134418883,0.724496018,1.205055638,0.08544865
1.219744073,1.260751704,7.532321771,0.133574383,0.718987184,1.111115124,0.084824068
1.130825725,1.743220543,7.394889891,0.137861877,0.719645446,1.269237794,0.068225822
1.14029296,1.769357599,6.951908044,0.143053997,0.742080978,1.268370827,0.081795879
1.152013668,1.585565,7.517670432,0.133871177,0.741212685,1.195697358,0.083993939
1.134365944,1.71153543,7.362235093,0.13493941,0.765203779,1.20442156,0.072586981
1.138747325,1.691398435,7.333884326,0.138523624,0.722011447,1.250417925,0.072865721
