CJWR, WHR, PAR, ES, LF/FH, FW/LFH, MEH
1.13846993,1.571985649,7.145569891,0.140063553,0.752659304,1.183963858,0.082255646
1.172632484,1.298328516,6.959776555,0.139308447,0.725697808,1.101722456,0.085600637
1.159304004,1.628841919,8.300373518,0.137061907,0.685561038,1.256643659,0.071447659
1.154398636,1.60961114,7.472209083,0.141176816,0.713787609,1.204188832,0.079391691
1.163319298,1.436309989,7.136130769,0.142064525,0.702739858,1.180596376,0.080825096
1.18507075,1.488534187,7.773606286,0.137827356,0.69253175,1.225845558,0.077659025
1.173973882,1.47969404,7.316357066,0.137534524,0.709613218,1.200198487,0.087284494
1.126572281,1.629684172,7.443338563,0.129720489,0.753067664,1.067880762,0.072221404
1.151562086,1.622119206,7.524911732,0.137849567,0.705608819,1.184556665,0.084752146
1.163570099,1.660516249,7.619529793,0.140976686,0.702281002,1.218536385,0.079582358
1.161770203,1.293283888,7.377533788,0.13033452,0.719249018,1.074094792,0.080320182
1.120389533,1.719572194,7.52902526,0.141259152,0.706076668,1.196364727,0.077524885
1.16334711,1.572482857,7.688797488,0.136870331,0.699709899,1.196120993,0.072958817
1.186403484,1.420605495,7.575351473,0.137481115,0.711678515,1.183303426,0.079483108
1.195295543,1.387462927,7.853101907,0.136250363,0.681083276,1.207249618,0.07940587
1.20326197,1.444511173,7.488392064,0.135145101,0.71434228,1.157941578,0.089593972
1.151826286,1.649315188,7.485528533,0.136277717,0.709818896,1.226810114,0.071032592
1.175218579,1.521966488,7.729403702,0.137079953,0.696752361,1.235187742,0.07492227
1.168285926,1.485893087,7.656716646,0.136158321,0.691643551,1.229626312,0.086215203
1.179157941,1.511872738,7.78643861,0.132119121,0.702054854,1.209404433,0.079661409
1.179000274,1.487341494,7.919176646,0.138956394,0.689072717,1.283787215,0.069284233
1.16987461,1.456538045,7.462594739,0.132111398,0.72586748,1.142006325,0.073202558
1.165218183,1.522878041,7.727522714,0.131150421,0.710362382,1.155802526,0.072386395
1.203460485,1.430576844,7.518094452,0.131356992,0.707240375,1.191919757,0.082597034
1.201840124,1.200205795,7.031990927,0.136929921,0.705123439,1.077416417,0.091372491
1.165280153,1.403525694,7.142163005,0.137909651,0.719857198,1.103680354,0.084565503
