CJWR, WHR, PAR, ES, LF/FH, FW/LFH, MEH
1.173953694,1.502007506,7.431153104,0.139064142,0.727645722,1.247569601,0.086885385
1.21745555,1.334965449,7.803711109,0.137448247,0.693065072,1.210357393,0.085020089
1.182256872,1.461461704,7.63660545,0.137833212,0.692567569,1.217440102,0.089681829
1.202311698,1.501998425,7.847809111,0.139129287,0.69429008,1.226325365,0.076302805
1.222237827,1.40470546,7.573075742,0.145405938,0.686911795,1.259289161,0.088394079
1.192582896,1.495202192,7.617638201,0.140664064,0.701305044,1.242229675,0.077097626
1.150937795,1.686357548,7.915175717,0.138187094,0.684399253,1.279148385,0.080946915
1.20110325,1.293100205,7.388138658,0.138142372,0.698790497,1.147698931,0.090806835
1.215266373,1.460822278,7.982456998,0.140024915,0.683645323,1.222497583,0.078532563
1.152213455,1.577913555,7.570709896,0.140743686,0.700879927,1.192343587,0.077309898
1.214173926,1.284569662,7.652512675,0.135368416,0.694617982,1.164631315,0.086577668
1.152240865,1.576822001,7.876114826,0.136754673,0.694216795,1.178660447,0.089260974
1.156897626,1.673155334,7.889809937,0.136011814,0.70420916,1.23412077,0.076361276
1.183664586,1.748358018,8.401377209,0.140594422,0.681934819,1.350103723,0.074606509
1.172942372,1.517535619,7.804394117,0.129036619,0.723807531,1.204489052,0.086502451
1.1788753,1.411475247,7.657636868,0.13788744,0.697997225,1.203525567,0.086100124
1.200803824,1.430406407,7.576673054,0.138309233,0.701341348,1.192841056,0.092218643
1.172717637,1.492685799,7.504611361,0.133528246,0.723240618,1.10317088,0.084839873
1.224460473,1.358950216,8.283976618,0.132974212,0.674254043,1.265626781,0.072887968
1.16317104,1.509558049,7.856474587,0.139160042,0.692258568,1.232281858,0.072420542
1.184082467,1.648103964,7.974734673,0.141217494,0.699313911,1.261040601,0.073374917
1.157638709,1.493023093,7.607620075,0.14018551,0.701214704,1.210182359,0.076898993
1.173987669,1.460046585,7.551613547,0.133916381,0.713500136,1.164132573,0.080280853
1.177857429,1.475522922,7.22583117,0.140686523,0.699996072,1.22071878,0.08274336
1.17242184,1.660259383,7.749470087,0.138569999,0.714602202,1.192245724,0.080527525
1.165187328,1.515600427,7.663216684,0.141153426,0.70538552,1.187246053,0.075904651
1.097365235,1.719652231,7.727262993,0.131981555,0.734039858,1.209514698,0.068488996
1.212109295,1.204529368,7.474356356,0.138763672,0.692349443,1.15030325,0.089526562
1.136992916,1.50906946,7.066136396,0.138291163,0.724528758,1.17605879,0.084332356
1.149922693,1.371431888,7.240035176,0.137842076,0.717020457,1.130278957,0.095758086
1.217485376,1.310455551,7.249106274,0.142958397,0.686911701,1.200491906,0.085468222
1.178651055,1.415173372,7.538720961,0.135865968,0.703418935,1.16071059,0.078964779
1.152263496,1.486970269,7.263032357,0.137948016,0.732495832,1.155284346,0.083765751
1.156134012,1.716157621,7.794032461,0.143068927,0.693550327,1.337155901,0.078824385
1.19618871,1.515346659,7.925191219,0.134914066,0.708696397,1.216606883,0.082262848
1.154735144,1.405937043,6.929611889,0.13911468,0.718792166,1.186109352,0.07959482
1.144222872,1.578418044,7.048632431,0.135772373,0.738665874,1.155200261,0.080354735
1.185017124,1.416854851,7.351327763,0.141482385,0.708575878,1.232118452,0.081108438
1.129209595,1.642558477,7.608565848,0.134412051,0.716278719,1.241188663,0.071441144
